feature,importance
SPEI6_new_lag1,14.585479736328125
SPEI6_new_lag2,3.558675527572632
month,1.8844038248062134
year,1.5976444482803345
tp,1.5865768194198608
u10,1.5310802459716797
ssrd_lag2,1.3258472681045532
TCI,0.8958533406257629
tp_lag3,0.8434722423553467
t2m_lag3,0.8257759809494019
ssrd_lag1,0.8114414215087891
d2m_lag3,0.7569367289543152
tp_lag1,0.6951524615287781
ssrd_lag3,0.662192702293396
d2m,0.6542322039604187
tp_lag2,0.5640965700149536
VHI,0.5083106160163879
t2m_lag2,0.47668763995170593
pev,0.43175503611564636
ssrd,0.4274585247039795
d2m_lag1,0.3796452283859253
d2m_lag2,0.35794928669929504
LST_min,0.3534436821937561
t2m_lag1,0.3238675892353058
LST_mean_C_lag1,0.31376612186431885
VCI_lag1,0.3018088638782501
SPEI6_new_lag3,0.2947629392147064
TCI_lag1,0.2809651792049408
e,0.23879198729991913
stl2,0.20366841554641724
swvl2_lag3,0.18501931428909302
LST_mean_C_lag3,0.17585325241088867
TCI_lag2,0.1730307638645172
t2m,0.1691918969154358
stl1,0.1679997742176056
swvl3_lag3,0.1638847291469574
TCI_lag3,0.16233913600444794
v10,0.1550910919904709
LST_Night_C,0.15323443710803986
LST_mean_C,0.14546947181224823
VHI_lag3,0.1402447670698166
LST_max,0.13719484210014343
swvl2_lag1,0.13483268022537231
swvl2,0.131584033370018
LST_Day_C,0.12811662256717682
NDVI_mean_lag1,0.11872486770153046
swvl2_lag2,0.10747803747653961
VHI_lag1,0.10011056065559387
latitude,0.09907757490873337
NDVI_max,0.09701305627822876
swvl3,0.09587791562080383
NDVI_mean_lag2,0.0907924547791481
LST_mean_C_lag2,0.08949433267116547
VCI,0.0742766484618187
NDVI_min,0.07388177514076233
VHI_lag2,0.06139231100678444
swvl3_lag2,0.05605090409517288
swvl3_lag1,0.05275170877575874
NDVI_mean_lag3,0.046574681997299194
VCI_lag3,0.04053661972284317
NDVI_mean,0.040398743003606796
sp,0.03932062163949013
longitude,0.034526657313108444
VCI_lag2,0.03345838934183121
